date,time,epicenter,緯度,経度,depth,magnitude,maxshindo,lat,lng
2001/1/13,4:24:00,兵庫県北部,35°28.5′N,134°30.0′E,9 km,2.5,震度１,35.475,134.5
2001/1/13,11:24:25,兵庫県北部,35°27.9′N,134°30.1′E,10 km,3.3,震度１,35.465,134.5016667
2001/1/13,11:26:06,兵庫県北部,35°28.2′N,134°30.9′E,9 km,3.3,震度１,35.47,134.515
2001/1/13,12:22:59,島根県東部,35°22.6′N,133°17.1′E,9 km,2.3,震度１,35.37666667,133.285
2001/1/13,13:27:08,兵庫県北部,35°28.1′N,134°28.5′E,10 km,3.2,震度２,35.46833333,134.475
2001/1/13,16:32:37,兵庫県北部,35°28.2′N,134°31.1′E,10 km,2.9,震度１,35.47,134.5183333
2001/1/13,16:37:50,兵庫県北部,35°28.2′N,134°31.0′E,9 km,2.9,震度１,35.47,134.5166667
2001/1/13,16:54:01,兵庫県北部,35°28.3′N,134°31.2′E,10 km,3.2,震度１,35.47166667,134.52
2001/1/13,16:55:41,兵庫県北部,35°28.2′N,134°31.1′E,9 km,3,震度１,35.47,134.5183333
2001/1/13,17:14:13,兵庫県北部,35°28.5′N,134°30.8′E,9 km,2.7,震度１,35.475,134.5133333
2001/1/13,17:20:49,兵庫県北部,35°28.3′N,134°30.7′E,10 km,3.2,震度１,35.47166667,134.5116667
2001/1/13,18:45:47,長野県中部,36°10.9′N,137°56.1′E,8 km,2.6,震度２,36.18166667,137.935
2001/1/13,22:22:38,兵庫県北部,35°28.5′N,134°30.7′E,9 km,2.9,震度１,35.475,134.5116667
2001/1/13,23:08:01,兵庫県北部,35°28.1′N,134°29.6′E,10 km,2.7,震度１,35.46833333,134.4933333
2001/1/13,23:52:52,兵庫県北部,35°28.0′N,134°30.2′E,10 km,3.9,震度２,35.46666667,134.5033333
2001/1/13,23:59:22,兵庫県北部,35°28.5′N,134°30.7′E,9 km,2.7,震度２,35.475,134.5116667
2001/1/14,0:24:22,新島・神津島近海,34°17.2′N,139°13.7′E,10 km,2.3,震度２,34.28666667,139.2283333
2001/1/14,1:30:53,新島・神津島近海,34°22.5′N,139°15.7′E,12 km,2,震度１,34.375,139.2616667
2001/1/14,1:44:17,兵庫県北部,35°28.9′N,134°30.4′E,9 km,3.2,震度１,35.48166667,134.5066667
2001/1/14,7:38:45,兵庫県北部,35°28.4′N,134°31.1′E,10 km,2.8,震度１,35.47333333,134.5183333
2001/1/14,7:56:53,千葉県南東沖,34°50.8′N,140°42.0′E,64 km,4.1,震度２,34.84666667,140.7
